cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,37.78184382,1,21.54074326,1,27.01603503,1,28.79393706,1,24.01746962,1,23.19582826,1,22.88498306
1,57.01036189,1,22.38609195,1,21.34159429,1,29.64388126,1,25.39558943,1,23.79767032,1,36.17048054
1,45.88913621,1,25.96938354,1,27.1226033,1,28.7553896,1,25.60608626,1,23.77368302,0,35.83191081
1,42.23683098,1,41.80642069,0,30.99357422,1,20.98319141,0,22.8433351,1,23.58067931,1,26.14840184
1,41.9069958,1,34.00984131,1,36.96903985,1,22.74297847,1,19.31864571,1,23.91972192,1,21.84765075
1,40.26524543,1,23.65933612,0,24.24878461,1,23.43828945,1,31.39916939,1,24.63102418,1,24.67452766
1,40.88246838,1,33.74727601,1,31.66264791,1,27.91538482,0,29.80915751,1,25.67908429,1,42.98889972
1,33.19454304,1,28.97108535,1,24.56945993,1,28.04579221,1,20.98545145,1,30.60520748,1,25.71172396
1,40.92884835,1,41.49867909,1,26.13825595,1,23.27212879,1,33.66832881,1,25.38807574,1,24.60596468
1,44.06901194,1,29.15865836,1,26.36128236,1,31.21103466,1,31.32695799,1,22.11476821,1,21.60917469
1,40.75627069,1,28.81985324,1,24.84878409,1,29.07146463,1,24.26443945,1,20.91237958,1,24.4656463
1,33.47609995,1,28.6600303,0,25.76323471,1,21.8272888,1,22.18777066,1,24.2152158,1,30.22757741
1,34.16623881,1,50.44116464,1,23.59496614,0,20.69192629,1,27.37797416,1,30.15175984,1,30.87737809
1,37.93206591,1,26.95170979,1,29.78707087,1,34.63641304,0,32.688642,1,20.84821909,1,22.45267534
1,34.44561798,1,26.25783756,1,25.59863684,1,40.85404705,1,24.17713763,1,22.75739749,1,22.57570192
1,44.13910368,1,36.91604023,1,23.89824245,1,24.51926652,1,23.3063695,1,24.62648927,1,28.78996044
1,44.17505813,1,34.14815991,1,24.08948459,0,36.4366042,1,22.43513438,1,24.53979968,1,24.30841319
