cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,17.7701783,1,14.96195386,1,9.68456208,0,10.15728452,1,15.19730744,1,20.92625005,1,10.04987224
1,29.34662092,1,12.06684716,1,10.34165732,1,10.13049972,1,9.679219265,1,10.07452642,1,10.41257757
1,30.23458112,1,16.35616222,1,10.42674131,1,10.28810648,1,9.139958384,1,10.85073536,1,11.15796493
1,21.0950424,1,14.88762252,1,9.84606235,1,21.11604935,1,9.916510592,1,9.945462719,1,11.12203471
1,21.94696462,0,15.1614509,1,10.08208509,1,16.12893544,1,10.96757281,1,10.13246393,1,10.7890402
1,26.64391258,1,11.05016277,1,13.94594589,1,14.88858844,1,16.24799268,1,9.812967024,1,9.660987594
0,25.6745108,1,18.66698421,1,9.887721457,1,13.84740867,1,16.02642474,1,9.919351554,1,10.00435266
0,27.93277954,1,15.01945332,1,14.05227461,0,15.50917972,1,10.44697116,1,10.99596266,1,10.06108464
0,24.67203155,1,12.28053465,1,10.2680377,1,11.1821902,1,14.93858223,1,10.49210156,1,9.975763543
1,11.76655528,1,11.92564283,1,10.50619026,1,9.852587776,1,10.28086046,1,9.870531703,1,10.28483056
1,21.43981794,1,14.91734845,1,12.05095944,1,15.35995747,1,10.22962615,1,10.47117465,1,9.455120896
1,23.20127839,1,15.70668026,1,14.55971857,1,10.33282863,1,10.34351582,1,10.10135171,1,15.20167553
1,19.79866633,1,14.84577177,1,14.94727398,1,9.910239383,1,10.61364044,1,10.37220761,1,9.40293004
1,25.92912554,1,18.74678619,1,16.01609653,1,10.17972018,1,14.4848619,1,10.62887575,1,9.852095372
1,25.1250738,1,19.20973611,1,20.10624051,1,9.472014678,1,10.91511481,1,10.88458862,1,10.83419822
1,30.65055631,1,14.41057097,1,20.17928789,1,14.83283421,1,14.94949582,1,10.14518425,1,10.2326333
1,14.67680518,1,15.21995312,0,21.40105449,1,10.36793607,1,14.67701544,1,9.904406362,1,15.65974175
1,21.13483702,1,14.04307858,1,10.61762004,0,9.790725013,1,11.19652314,1,15.05964283,1,10.0015366
1,17.77775735,1,18.26303059,1,12.22161002,1,13.98929102,1,9.398530778,1,14.13343555,1,14.81549018
1,15.35534188,1,11.08957507,1,11.01508996,1,10.55556633,1,10.03749237,1,10.06646979,1,10.77883594
1,28.79097558,1,14.62866204,1,15.60902683,1,10.66844015,1,10.41834774,1,10.30019681,1,10.17642613
1,27.39499757,1,17.6273975,1,10.31077539,1,10.2909378,1,14.43159159,1,10.23025614,0,9.409638822
1,26.70613726,1,19.03313282,0,19.68104693,1,14.9702116,0,16.18330504,1,16.44618064,0,10.65665436
1,17.68143208,1,12.35707832,1,10.92559703,1,15.89327687,1,10.25019952,1,9.6480176,1,9.985069682
0,23.83886171,0,11.13136452,1,12.99200317,1,15.20740439,1,10.16448431,1,10.33943488,1,10.16658987
1,27.46464875,1,9.995867947,0,11.69407899,1,15.24087096,1,10.57345313,0,10.55490781,1,20.87334732
1,35.25910303,1,11.63661223,1,13.70460638,1,15.67724021,1,10.10165395,1,10.34959199,1,22.06821405
1,19.22711808,1,21.37109712,1,13.58048261,0,10.03611167,0,11.0287293,1,9.663085372,1,10.3345529
1,17.90425935,0,16.43990411,0,19.98797339,1,10.1747534,1,9.551126451,1,10.7464207,1,9.554855092
1,19.41125138,1,9.670452476,1,10.17796852,1,11.05955671,1,14.34384116,1,10.28902384,1,10.64075774
1,19.44589235,1,18.02210337,1,14.45543672,1,11.26823933,1,14.90520642,1,11.38871437,1,22.6894287
1,24.47290212,1,11.3589054,1,10.75154208,1,14.93382683,1,9.182293967,1,15.15168082,1,11.88215711
1,27.49523838,1,17.57159799,1,13.23367877,1,10.36833865,1,19.55026124,1,10.48891406,1,10.43352341
1,28.80028449,1,12.24537528,1,11.07772378,0,14.53191378,1,14.39141514,1,9.676128856,1,8.88099216
1,27.76104205,1,16.22785623,1,10.06804702,1,14.76148804,0,10.18908983,1,10.41245663,1,10.16200333
1,18.34501943,1,13.67159319,1,14.02180829,1,10.36294774,1,10.07504229,1,10.81479603,1,14.99961578
1,21.4437642,0,24.04646681,1,11.79794874,0,10.57714278,1,14.73645409,1,15.39333864,1,16.21189663
1,24.80049128,1,15.16645106,1,15.53948874,1,20.61998924,1,20.88293219,1,9.851467368,1,10.14033756
1,23.74287039,1,11.23658493,1,15.42002937,1,19.603666,1,9.566124237,1,10.18497371,1,10.02533122
1,22.80779451,1,20.37614883,1,10.50663643,0,9.944489774,1,10.53337614,1,9.797609508,1,14.93908372
1,19.49914482,1,16.79307512,1,11.16411598,1,19.04561134,1,9.789095349,1,10.59635158,1,10.61887769
1,23.44979853,1,13.63501329,1,19.43740534,1,11.07416299,1,10.12907821,1,9.989436227,1,10.71377591
