cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,58.14053062,1,29.26182947,1,22.61607366,1,29.37625259,1,30.12348252,0,20.54811333,1,20.87444046
0,44.42799368,1,19.62551155,1,18.51290429,0,17.41032857,1,18.56895869,1,18.35032554,1,16.42151793
1,55.69516044,1,41.5449265,1,24.89921286,1,20.61970795,1,25.24133362,1,18.25940736,1,18.76634398
1,56.50574485,1,21.68718514,1,30.74249441,1,31.75377967,1,27.64732319,0,17.74829587,1,32.35808771
1,74.16627951,1,38.15089806,1,17.41895456,1,26.93466127,1,28.12658742,1,17.7203287,1,17.46681953
1,50.95750592,1,39.26172953,1,24.32923535,1,30.75947065,1,37.04134542,1,20.16637375,1,18.14922413
1,47.33597515,1,47.47989901,1,44.64172536,1,31.83173743,1,18.54881288,1,20.5553482,1,30.07920578
1,37.64016271,1,32.40382543,1,36.54599722,1,38.33814442,1,18.44865066,1,22.56046721,1,20.35170795
1,42.05858874,1,21.12067768,1,21.6821325,1,20.73166594,0,32.38069781,1,26.45707813,0,17.62883228
1,37.5270647,1,41.21669397,1,42.79530587,1,25.01179094,1,39.45262235,1,19.4732443,1,21.61990998
1,57.28774134,1,36.59855982,1,39.76082246,1,22.29504154,1,29.07195821,0,24.87456015,1,26.92463041
1,38.35596372,1,40.45544818,1,19.57363868,1,58.73767813,1,24.17645929,1,16.73129242,0,19.01411283
1,54.27629832,1,25.6450736,1,32.07669918,1,35.00127791,1,19.49325798,1,18.98536345,0,17.34949503
1,58.83762042,0,32.56794923,1,25.30756901,1,23.06345988,1,32.45516944,1,45.50487389,1,27.65721281
1,39.91793511,1,39.18164132,0,18.66636424,1,32.16749735,0,22.63688117,0,18.87866588,1,18.34713573
1,38.72940634,1,52.64268146,1,27.55657608,1,29.77532644,1,30.53363417,0,18.95762633,1,17.65987808
1,40.99529419,1,27.18015476,1,20.87502505,0,28.35602199,1,32.8921305,1,19.21213534,1,33.25496874
1,90.78198946,1,34.31572346,1,34.45808373,1,30.68926055,0,31.42405445,1,20.76927815,1,30.77284468
1,41.67588934,1,45.90953601,1,39.40677515,1,21.62199604,1,31.26637995,1,18.30908969,1,20.97445053
1,37.1868867,1,32.45845733,1,21.71437263,1,22.27930921,1,31.21202282,1,19.13842542,1,48.91376194
1,46.99557895,1,39.77418147,1,39.67344816,1,20.53837387,1,33.28720531,1,24.81245496,0,17.46589978
1,43.25206236,1,42.82798046,1,47.56317953,1,29.22857681,1,28.5465845,1,28.8102734,1,16.99094748
1,65.69524773,1,27.85970655,1,38.45768252,0,19.26151071,1,25.86861546,0,18.01793747,1,16.96902983
1,42.95659733,1,41.77683321,1,39.86693778,1,27.26098683,1,33.89863899,1,18.2013582,1,20.64057515
1,44.12861122,1,39.4348705,1,29.94969762,1,42.63539657,0,28.75205488,1,18.98433582,1,20.40820372
1,65.82290094,1,20.70881903,1,39.62060948,0,23.98708582,1,15.98725997,1,31.16093718,1,19.45260427
1,54.23688579,1,45.23681259,1,25.25425033,1,18.83870231,1,33.15916921,1,26.05965655,1,16.07746535
1,52.75218193,1,29.40356651,1,33.29240617,1,36.03110601,0,19.83430608,1,23.80062278,0,19.98335122
1,54.14531309,1,42.89810009,1,30.79544671,1,42.63592453,1,18.42186702,1,34.67063351,0,33.03494642
1,39.4341874,1,28.2640169,1,38.63712096,0,24.8942518,1,20.3867964,1,17.38342385,1,17.45540068
1,32.17227976,1,21.83568512,1,29.31968728,1,21.53249317,1,38.97754815,1,18.55982728,1,19.44084876
1,43.3725207,1,21.10268143,1,34.03267436,0,36.37022232,1,44.18582285,1,31.28660606,1,19.86807406
1,41.40028635,1,39.21383395,1,24.56402998,1,17.24013864,1,23.17625734,1,25.75225765,1,16.9857323
1,32.99474029,1,50.21862,1,29.30069424,1,39.45716594,1,41.56785719,1,18.24394052,1,29.60563614
1,37.03700405,1,33.41462603,1,40.15093619,1,19.16060538,1,17.09788377,1,41.02766337,1,20.25891824
1,46.76942739,1,31.9570765,1,19.4311758,1,20.24648021,1,34.10022204,0,21.32586282,1,23.7888157
1,42.82683033,1,46.38944367,1,42.65467483,1,26.97673421,0,23.6309968,1,17.84264511,1,17.54677947
1,40.35756052,1,19.9539168,0,20.48596814,0,30.84086313,1,20.4184186,1,24.74215818,1,36.33577244
0,36.77354104,1,35.4863903,1,34.47759599,0,35.58155422,1,17.88294045,1,18.53144128,1,17.13463249
1,42.88062142,0,23.81013178,0,36.46976146,1,25.41983049,1,24.7041297,1,18.26211143,1,17.09136212
1,29.83194941,1,26.00396836,1,35.93946747,1,20.01736845,1,18.54961566,1,18.42809694,1,46.00868806
1,35.00552663,0,26.72642934,1,22.13672249,1,22.02137051,1,37.9944416,1,19.1749341,1,20.2847507
1,40.31142575,1,36.44375652,1,25.1370543,1,45.58999347,1,28.61035662,1,25.54914544,1,37.57374783
1,41.42425338,1,46.23852832,1,28.23769139,1,27.28940328,1,27.5486166,1,28.93253668,1,19.37083728
1,40.34399185,0,28.92236456,1,19.70803985,1,36.37800091,1,19.13756926,1,30.7063255,1,18.23552469
1,57.53215043,1,39.42704573,1,32.69948089,1,27.63877943,1,29.67445983,1,27.8512813,1,19.18810814
1,56.71572523,1,48.96685175,1,56.0740602,1,30.91245081,1,25.42538437,1,17.06168971,1,17.89932607
1,38.329385,1,38.59441368,1,34.34998263,1,22.78825369,1,40.64171827,1,34.62743633,1,21.76004454
1,49.5055479,1,25.25529953,1,40.64716125,1,29.295739,1,40.69889062,1,28.71246061,1,28.41982448
1,33.56570973,1,34.86279361,1,21.94791234,1,25.60414714,1,42.4778053,0,19.72031454,1,20.16412335
1,69.29391077,1,52.62296826,1,21.63461268,1,25.47218693,0,20.53625224,1,28.1171837,1,39.94464504
1,57.83115366,1,61.97083051,1,37.57093722,1,30.42003322,1,24.9058964,1,29.6706787,1,30.17033552
1,44.33006333,1,27.83663121,1,20.86761033,1,19.74039306,0,23.83032598,1,33.98250442,1,18.49329536
1,44.30883582,1,26.51164166,1,18.57828671,1,19.90018437,1,26.61894058,1,29.11046059,1,18.65031151
1,60.26063484,1,38.38492667,1,41.65113249,1,35.52960834,1,32.52033609,1,36.0945304,1,33.61927743
