"Homo_cov","Homo_len","Heter_cov","Heter_len","Asym_cov","Asym_len","Bimo_cov","Bimo_len","Bimo-fix_cov","Bimo-fix_len"
0,6.40966548997783,1,13.6684031036562,0,10.2018918134753,1,26.9215450251631,1,26.6034873214997
1,6.06190471804078,1,12.9268145727248,0,9.89726103246985,0,25.9351193476153,0,25.6287155176633
1,6.10626664113688,1,13.0214149303065,1,9.57316321036948,1,27.115405715866,1,26.7950576946872
0,6.1928115086142,1,13.0656707069767,1,13.7603357571026,1,26.4187056812947,1,26.1727958454307
1,6.40086540579702,0,13.5046254056806,1,13.7503819550958,0,26.152186977239,0,25.9087579431054
1,6.17590885327522,1,13.0300092746167,1,13.9359727497998,1,26.5162474269804,1,26.2694296558465
0,6.23467231478186,1,13.1539891562229,1,13.9687696343058,1,26.4813919369911,1,26.234898606726
1,6.22014996371357,1,13.123349719404,1,13.5876942446511,1,26.1931626271773,0,25.9493521846782
1,6.15357121936781,1,13.94550362983,0,11.2550166847534,1,26.7870307594082,1,26.4449945353816
1,6.43464805869605,1,14.5824927770062,1,11.618208535689,1,26.6024235745978,1,26.2627445489105
1,6.18881198275074,1,14.0253678543844,1,11.4195250828304,1,26.1730304459107,1,25.8388342229154
0,6.12505185637361,1,13.8808717492557,1,11.2332325018935,1,26.1376293253747,1,25.8038851295452
1,6.03533779676772,1,13.6775576574413,1,11.0086385031049,1,25.4685603641004,1,25.1433593257109
1,5.81123249189298,1,13.6708760202188,1,11.4031891700045,1,26.2501895023017,1,25.8551459177538
1,6.17486913310832,1,14.5263281889969,0,10.9746524611973,1,28.171004988202,1,27.7470547233904
1,5.85496735824457,1,13.7737619289288,1,10.8906005275262,1,25.478046547012,1,25.0946230736566
1,6.21703596131836,1,14.6255253010432,1,11.5779533318382,1,27.2256017422852,1,26.8158790123674
1,6.17675395653598,1,14.5307622204069,1,10.5839378717845,1,25.9476549608969,1,25.5571642703263
0,5.92681292531586,1,13.4447672270517,1,11.9937229458606,1,26.7777077371432,1,26.6898340496264
1,6.14991037952694,1,13.9508559763699,1,12.1437330671289,1,25.4894662687028,1,25.4058200725514
1,5.97089073460461,1,13.5447561913118,1,12.3430544595973,1,26.135465264642,1,26.0496991591068
1,5.90112321513919,1,13.3864910206305,1,12.6968287447664,1,26.8876491988593,1,26.7994147275985
1,5.78965657028969,1,13.13363284669,0,12.3246761314739,1,26.8522967016592,1,26.7641782431027
1,6.19368281008574,1,13.995795847221,1,12.2274419704606,1,27.3778901899943,1,26.3905575946352
1,5.72506364150426,1,12.9368623476106,0,11.5181720745197,1,27.7914491523304,1,26.7892023235959
1,6.04622631272648,1,13.6625900475915,1,11.8144483634436,1,26.5318570832867,1,25.5750350954728
1,5.76861401797133,1,13.0352726467481,0,11.5547474126411,1,28.2651918746182,1,27.2458603973487
1,6.02451767964283,1,13.6135352919514,1,12.084714481326,1,26.1904776554149,1,25.2459668805611
1,6.01669194384092,1,13.0064375720444,1,12.6843290037367,1,27.4375338605842,1,26.6238282086301
0,5.97290746469948,0,12.9117875384557,1,13.1560968970423,1,26.3594854659697,1,25.577751130251
0,6.15105944953104,1,13.2969032616263,1,12.9446567434403,1,26.0027292860895,1,25.2315751476077
1,5.96944103641554,1,12.9042940713655,1,12.8851581130955,1,26.8973373028082,1,26.0996520772693
0,6.07090585161498,1,13.1236331694892,1,13.1766011569019,1,25.9569184888351,0,25.1871229456569
1,6.14947482764754,1,13.5765520851731,0,11.7254661125468,1,25.5583578870655,1,24.9614663103321
0,5.75595557419666,1,12.707756815539,1,12.419467360314,1,27.1427758404348,1,26.50888166226
1,6.02691319431756,0,13.3059656619118,1,12.1938157278482,1,26.3464703774407,1,25.7311731695982
0,5.94973958856205,0,13.1355850184413,1,12.5757616214852,1,27.0123650203789,1,26.3815164651017
