cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,36.40890543,1,20.39874069,1,13.37890636,1,15.98500149,1,11.72423845,1,9.133213013,1,15.61423826
1,35.56515439,1,20.41130181,1,16.32485952,1,18.82393463,0,9.603616444,1,7.985504195,1,9.94478906
1,33.03343045,1,27.16343814,1,18.51178225,1,10.19904427,1,9.062526057,1,28.00264761,1,16.55704032
1,29.07139923,1,20.4448583,1,29.96310558,0,20.69893118,1,11.60092269,1,4.763318362,1,12.95156114
1,26.02403508,1,13.29665872,1,15.86995771,0,11.34589211,0,22.44471209,0,12.94014937,0,10.44573628
1,28.47376683,1,24.22281226,1,28.03866081,1,12.26374531,1,18.73682503,1,4.693215901,1,9.134345266
1,27.55254836,1,24.64327888,1,19.20929772,1,13.05079975,1,8.091652003,1,14.4382481,1,9.250287687
1,26.63950551,1,28.68357759,1,12.635016,1,14.87988184,1,9.008541916,1,7.724550967,0,9.297920065
1,34.19225274,1,23.66389774,1,11.93002923,1,23.41820552,0,7.049609869,1,10.70050618,1,5.429467489
1,37.17680273,1,26.95160311,1,6.775983089,1,10.89550061,1,10.75124183,1,10.55676984,1,7.48809661
1,28.36215,1,31.87863079,1,22.67840735,1,12.95098996,1,7.169592208,1,39.63000125,1,13.43513414
1,29.27922445,1,25.02153497,1,16.21939602,1,9.040823175,1,8.864811906,1,14.70512525,1,10.44601659
1,28.98469602,1,17.02687816,1,22.50777133,1,16.78093491,1,13.77395395,1,10.42499509,1,13.4670764
1,35.07878692,1,20.58884879,1,22.5387933,1,20.52511147,1,6.537832011,1,9.162737579,1,11.46360511
1,29.79439598,1,19.86899563,0,6.669535188,1,16.06968237,1,15.80909032,1,9.738497527,1,6.112625079
0,29.46072718,1,22.79223792,1,24.96128345,1,13.88375351,1,8.04008408,1,11.6929777,1,6.330943156
1,35.68354028,1,23.99507009,1,17.8415608,1,17.10430622,1,18.15411535,1,6.463773436,0,5.435848355
1,33.43454331,1,18.45364363,1,25.91966971,1,18.56246685,1,12.4471616,1,7.849831183,1,14.65459032
1,36.71691568,1,21.93329764,0,12.49234232,1,10.41886622,1,27.05501774,1,12.10594073,1,11.76255239
1,35.00092387,1,18.58241406,1,19.79933414,1,28.80592051,1,22.53212576,0,16.46174593,1,14.1748719
1,30.6785071,1,30.23832565,1,37.48574618,1,18.10237241,1,12.63380769,0,16.15153792,1,7.3761206
1,37.1571888,1,17.40315708,1,17.23103979,1,18.43244279,1,21.5027506,1,9.298644785,1,13.98023509
1,33.57664775,1,34.67051994,1,11.96162712,1,23.33672429,1,8.443193877,1,14.41420768,1,10.85982279
1,34.28261198,1,25.83953091,0,19.98538286,1,16.62677116,1,8.544019,1,7.827999453,0,14.73122967
1,37.72841467,1,21.63296296,1,16.31806953,1,17.78928909,1,16.14009947,1,8.783345204,1,22.88019221
1,29.60803696,1,20.36050093,1,15.94348786,1,13.25766003,0,17.57366252,1,9.844291794,1,5.067814588
1,39.35951411,1,18.70267392,1,14.54787074,1,10.89687498,1,16.27940298,1,16.19195839,0,13.49627843
1,32.55382196,0,31.59118855,1,24.17797336,1,39.6822003,1,17.65427856,1,11.11175577,1,10.95598478
1,29.20456197,1,23.04501012,1,32.29778756,1,33.59417485,1,14.20863028,1,14.84978866,1,7.927572489
1,38.7600904,1,30.64686143,1,12.21326538,1,21.819072,0,14.4389715,1,18.57203548,1,15.9150838
1,33.4775892,1,30.49814153,1,10.38376692,1,23.48045917,1,15.42505961,1,15.98474966,1,11.4843407
1,35.00838277,1,20.39674185,1,21.71247691,1,6.802886776,1,11.82132161,1,9.987213157,1,10.55036545
1,24.80828634,1,29.91203034,1,18.68666295,0,12.59488217,1,21.12943078,1,8.238750475,1,13.77585016
1,33.99118966,1,21.45027927,1,26.77232328,0,16.59621997,1,12.32112439,1,8.641478132,1,12.07086028
1,37.71231506,1,20.95053597,1,22.45752318,1,15.48793437,1,6.481567709,1,9.42912228,0,12.30824643
1,32.67793406,1,17.33252371,1,17.00522981,1,10.30839142,1,12.29243018,0,12.66779702,1,5.295377523
1,30.4786265,1,20.92562488,1,27.97912753,1,16.60645825,1,9.513762,1,10.60699854,1,7.810583566
1,35.64518073,1,21.24437599,1,15.82165326,1,25.23117366,1,16.01712076,0,16.85867591,1,7.345859227
