cov_n100,len_n100,cov_n200,len_n200,cov_n300,len_n300,cov_n500,len_n500,cov_n800,len_n800,cov_n1200,len_n1200,cov_n1500,len_n1500
1,42.27993498,1,30.57628304,1,27.70206556,1,27.47888729,1,24.82379252,0,23.81022489,1,27.51445016
1,37.81177339,1,31.42346488,1,28.4088982,1,25.07199176,1,24.72451199,1,28.25946539,1,30.52612983
1,42.16313163,1,28.13535157,1,25.967966,1,43.43711376,1,32.83797844,1,30.49717219,1,23.45580332
1,36.27246194,1,28.638011,1,24.23016238,1,51.09360486,1,35.48074494,1,37.65876751,0,28.32248549
1,37.39122077,1,37.97976007,1,27.45022242,1,29.16497428,1,26.73263128,1,25.78473617,1,24.20032049
1,36.87795067,1,28.15063144,1,31.98077608,1,27.45457312,1,35.07106105,1,24.3058638,1,22.8166164
1,42.94298993,1,33.3337509,1,29.34006128,1,27.78118349,1,26.18144366,1,22.27533357,1,26.21591731
1,38.68593539,1,30.90657214,1,30.40830213,1,29.48625248,1,24.69854419,1,21.72804512,1,26.04228874
1,36.3061727,1,32.29811281,1,26.28050802,0,24.43052068,1,29.00536145,1,21.68416374,1,34.6595948
1,39.65682926,1,30.85781573,1,24.9518471,0,23.99393161,1,28.29290597,1,24.84696466,1,24.43719709
1,36.43231548,1,28.05572483,1,25.31427688,1,23.67464707,1,30.21697564,1,23.97386731,1,23.51371954
1,34.6722901,0,36.08825888,1,33.88813535,1,28.65124571,1,24.24267069,1,22.04855041,1,32.43068565
1,32.82261796,1,30.56785368,1,40.31197752,0,35.3450814,1,24.73453288,0,27.13899091,1,23.06943915
1,30.68195839,1,35.52739419,1,24.530458,1,30.64987287,1,28.00364553,1,22.80903708,1,33.34002337
1,34.94662751,1,34.63178507,1,25.9871619,1,33.11919809,1,24.06995554,1,31.94538785,1,27.64769485
1,41.03978966,1,26.56469041,1,28.73618663,0,29.04095931,1,24.86934229,1,22.76051655,1,25.81832891
1,36.52726093,1,38.09097287,1,23.80099866,0,23.91599558,1,24.3311431,0,24.89003813,1,21.83022219
1,40.04420478,1,30.65676374,1,32.30449555,1,30.78659716,1,24.44102658,1,25.36672591,1,28.5751563
1,40.72202614,1,27.81664483,1,27.95069002,1,24.58046093,1,24.59432925,1,22.19020313,1,28.69515267
1,38.92430294,1,32.06782258,1,29.96208828,1,25.29839349,1,24.06744758,1,29.45645856,1,20.84129641
1,36.95273826,1,26.30074672,1,25.85245037,1,25.36280672,1,23.70191699,1,22.44264066,0,24.63728675
1,39.9780086,1,26.27651231,1,49.43089544,1,34.83974841,0,24.32546914,1,29.61054911,1,22.33500032
1,41.64398212,1,34.49495017,1,29.73656347,1,25.08196433,1,24.14125381,1,25.18530093,1,29.38594375
1,39.41989928,1,32.41931935,1,32.33231503,1,29.48875335,1,25.58289473,1,30.80345754,1,25.69719589
1,39.39577288,1,30.1327245,1,33.65138875,1,24.60996468,1,23.85732617,1,30.00078601,0,24.62203247
1,39.43034491,1,39.37993914,1,33.25374436,0,23.75236812,1,23.72881595,1,25.58957104,0,24.55764869
1,35.40241508,1,26.81377703,1,28.73600332,1,25.34799065,1,24.1292219,1,26.00376442,1,23.59467861
1,40.06462983,1,30.20063658,1,24.85425559,1,24.52316342,1,26.10766459,1,29.73760349,1,25.37676515
1,40.13848717,1,26.95641074,0,28.48175849,1,23.51281783,1,25.00516239,1,23.93751139,1,27.22223138
1,31.72229721,1,33.10756928,1,28.58869247,1,33.44233996,0,24.23508661,1,32.07000315,0,26.25386161
1,32.90792315,1,28.04210049,1,31.5272657,1,23.82335044,0,33.10887457,0,30.22939556,1,28.88992742
1,39.56629115,1,30.24791182,1,31.55182805,1,29.74682415,1,26.85184804,1,33.19239221,1,24.66034089
1,36.13229777,1,33.7082354,1,24.73755991,1,27.49876928,1,31.13085028,0,24.68516475,1,27.72869341
1,38.4885798,1,32.73649203,1,30.1280587,1,28.12808205,1,34.53757331,1,35.91006693,1,23.56955886
1,44.60140746,1,29.06424122,1,27.60350608,1,28.55404563,1,32.52103908,1,25.28767349,1,23.72997946
1,37.20111278,1,32.19707014,0,23.71178812,1,24.90626498,1,28.61373863,1,22.37596689,1,25.93861202
1,40.11698005,1,31.94022101,1,28.53559162,1,25.23621387,1,25.51840924,1,27.92924542,1,26.85335799
1,32.10960325,1,30.29189069,1,31.91209572,1,29.11341251,1,24.27450651,1,28.69857422,1,25.82093501
1,33.72263853,1,32.54789569,1,30.63865489,1,35.41334588,1,24.84232756,1,22.53543978,1,24.14228259
1,40.27969019,1,32.51032338,0,24.91994947,1,28.50339375,1,23.54254366,1,25.82187117,1,22.54145525
1,36.8910592,1,31.12879007,1,30.98602509,1,29.27720965,1,24.32415219,1,22.25240539,1,24.70139044
1,36.81580339,1,30.25973202,1,23.4904354,1,24.94781933,1,25.14602603,1,24.22655816,1,22.02194142
1,39.71031446,1,33.65472711,1,31.71996566,1,28.51297134,1,24.29677651,1,22.74267697,1,21.81507605
1,36.73364211,1,31.68676177,0,27.38097067,1,25.40911002,1,27.6092848,1,22.9468804,1,31.43038776
1,35.43133793,1,32.14315128,1,32.75286514,1,23.3192719,1,24.37612397,1,26.63378522,1,26.32943672
1,34.86634471,1,31.31984299,1,24.36193208,1,34.24679937,1,24.82386049,1,27.06886691,1,25.73761702
1,40.02303001,1,33.83451267,1,29.63440363,1,25.01175671,1,24.58957863,1,25.3729398,1,27.46903619
